Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,label
51126,861.669,339.211792311847,192.816051312593,1.75925079889702,0.822735923168539,51691,255.138481935066,0.79139964706975,0.989069663964713,0.865308046455626,0.752150979764612,0.0066348197064477,0.0013098723986876,0.565731096360865,0.99526288323374,5
41466,733.677,259.674535116127,203.588954734734,1.27548439675654,0.620740788611189,41747,229.774130314943,0.754805591961555,0.993268977411551,0.968037537310899,0.88485430507149,0.0062623483122588,0.002368121904702,0.782967141203549,0.998662371778201,0
42193,811.097,318.943039834504,169.096702990518,1.88615764940366,0.847886129918186,42842,231.779628334784,0.746514508138712,0.984851314130993,0.805943653022829,0.726711667559988,0.0075591458259546,0.0013004720363992,0.528109847767818,0.996098429092675,4
52097,891.916,350.511992579432,196.488819282421,1.7838775450914,0.82810257892143,54156,257.549918582918,0.719969596462134,0.961980205332742,0.822952312070417,0.734782044653017,0.006728064813318,0.0012097735083723,0.539904653144469,0.963123787234776,4
51349,856.244,323.443500665867,203.393946138559,1.59023169964718,0.777535390916667,52073,255.694304556449,0.777661668938361,0.986096441534,0.880129893136567,0.790537772532315,0.0062989250163755,0.00151752796852,0.624949969800354,0.993815252670068,5
72067,1021.302,398.383650798026,231.581586954439,1.72027342949508,0.813687220873891,72949,302.916744783825,0.712948764876389,0.987909361334631,0.868236307320467,0.760364397929068,0.0055279621851613,0.0011398085807592,0.578154017638034,0.994582994698542,3
42057,767.125,281.489008044916,190.672807978533,1.47629340035003,0.735640538700388,42444,231.405781113884,0.74064877430262,0.990882103477523,0.898081772250963,0.822077503917877,0.0066930358333907,0.0018856190999431,0.675811422447847,0.997695942840921,5
65736,1014.17,399.521978390412,211.150017605122,1.8921238223033,0.848929168772552,66585,289.305504117552,0.721612364977606,0.987249380491102,0.803140670375328,0.724129133729015,0.0060776740049655,0.0010308162285115,0.524363002315134,0.992159728214945,3
43690,755.343,264.955244977176,210.214547944178,1.26040394239286,0.608705257143041,44039,235.855539916872,0.758836300477638,0.992075206067349,0.962284501412616,0.890171243589419,0.0060644368271269,0.0023488997485033,0.792404842913533,0.998750187979415,0
49916,833.692,316.156927722833,201.61720599888,1.56810489539563,0.770274524485327,50430,252.101219979199,0.799705213239771,0.989807654174103,0.902481632675489,0.797392680258487,0.0063337793036868,0.0015795437815677,0.635835086529814,0.997056111851706,5
79140,1105.067,382.072161095282,264.967829882316,1.44195678873536,0.720454645390271,80482,317.433737290699,0.755729564553094,0.983325464078925,0.814382982393004,0.830821424886638,0.0048278008730766,0.0014189263746424,0.690264240050663,0.995331206962311,1
34543,670.896,235.018010417078,187.291135183299,1.25482719823909,0.60408158755019,34826,209.717699762769,0.769194798254209,0.991873887325561,0.964405129243852,0.892347354105286,0.0068036363493928,0.0026610719461487,0.796283800378705,0.999198570232388,0
33221,672.871,249.406871716995,169.896423688117,1.46799365344404,0.732095644440905,33567,205.665483043818,0.761111620234604,0.989692257276492,0.922059492135614,0.824618350039644,0.0075075064482404,0.0021413490047031,0.679995423222105,0.998228965661042,6
48885,897.492,363.80216249512,171.942243733093,2.11583933416532,0.88126327985884,49642,249.484097978966,0.599080882352941,0.984750815841425,0.762648308518834,0.685768595403314,0.0074419998464788,0.0010152658792214,0.470278566441434,0.995033888891666,4
39434,728.011,265.960282369303,189.895665705403,1.40056004638834,0.700145606738655,39831,224.073488407456,0.723294203961849,0.990032888955838,0.93498536553536,0.842507333844365,0.0067444408979384,0.0020961409191383,0.70981860758154,0.994143581961706,5
